의료기관명,의료기관주소(도로명),의료기관전화번호,법정동,진료과
금동소아청소년과의원,경기도 성남시 중원구 산성대로372번길 3 (금광동),031-734-5678,금광동,소아청소년과
선경치과의원,"경기도 성남시 중원구 금상로 134, 2층 (상대원동)",031-736-2828,상대원동,치과
중동성모내과의원,"경기도 성남시 중원구 산성대로 354, 4,5층 (중앙동)",031-749-7582,중앙동,내과
성도치과의원,"경기도 성남시 중원구 산성대로 354-1, 2층 (중앙동)",031-747-5881,중앙동,치과
하나치과의원,경기도 성남시 중원구 둔촌대로 163 (성남동),031-752-2874,성남동,치과
조현덕내과의원,"경기도 성남시 중원구 성남대로 1137, 4층 (성남동)",031-756-5068,성남동,내과
김동선치과의원,경기도 성남시 중원구 둔촌대로281번길 3 (하대원동),031-753-2855,하대원동,치과
현대재활의학과의원,"경기도 성남시 중원구 둔촌대로 84, 605호~608호 (성남동)",031-745-0275,성남동,재활의학과
은행치과의원,"경기도 성남시 중원구 산성대로582번길 2, 2층 (은행동)",031-732-1561,은행동,치과
복피부과의원,"경기도 성남시 중원구 산성대로 352, 5층 (중앙동)",031-733-8176,중앙동,피부과
사랑의내과소아청소년과의원,"경기도 성남시 중원구 둔촌대로 388, 크란츠 테크노 202-1호 (상대원동)",031-734-4430,상대원동,내과
대원연세이비인후과의원,경기도 성남시 중원구 금상로 4-1 (상대원동),031-735-7575,상대원동,이비인후과
마디필정형외과의원,"경기도 성남시 중원구 산성대로 464, 4.5층 (금광동)",031-745-3070,금광동,외과
도진영치과의원,"경기도 성남시 중원구 금상로 60, 우림빌딩 6층 (상대원동)",031-745-4853,상대원동,치과
이태완치과의원,경기도 성남시 중원구 금상로 120-1 (상대원동),031-743-0725,상대원동,치과
배석주정신건강의학과의원,"경기도 성남시 중원구 광명로 5, 401호 (성남동)",031-722-2156,성남동,정신건강의학과
김동남소아청소년과의원,경기도 성남시 중원구 산성대로 530 (은행동),031-733-1885,은행동,소아청소년과
우성부부치과의원,"경기도 성남시 중원구 금상로 4, 2층 (상대원동)",031-741-1364,상대원동,치과
김선민치과의원,경기도 성남시 중원구 은이로7번길 7 (은행동),031-745-3755,은행동,치과
우리치과의원,경기도 성남시 중원구 자혜로8번길 4 (금광동),031-734-7909,금광동,치과
예치과의원,경기도 성남시 중원구 산성대로372번길 13 (금광동),031-746-2800,금광동,치과
이승주내과의원,"경기도 성남시 중원구 산성대로372번길 9, 원광빌딩 3,4층 (금광동)",031-742-8522,금광동,내과
퍼스트치과의원,"경기도 성남시 중원구 산성대로372번길 3, 3층 (금광동)",031-748-2860,금광동,치과
권이비인후과의원,"경기도 성남시 중원구 광명로 372, 4층 (금광동)",031-734-1437,금광동,이비인후과
보성치과의원,"경기도 성남시 중원구 둔촌대로 449, A동 308호 (상대원동, 중앙인더스피아상가)",031-733-5557,,치과
송산부인과의원,"경기도 성남시 중원구 광명로 339, 2층 (금광동)",031-732-5050,금광동,산부인과
서울치과의원,경기도 성남시 중원구 성남대로 1144 (성남동),031-721-1514,성남동,치과
세란치과의원,"경기도 성남시 중원구 제일로 37, 3층 (성남동)",031-757-5065,성남동,치과
이성원치과의원,"경기도 성남시 중원구 산성대로372번길 14, 2층 (금광동)",031-734-0830,금광동,치과
연세치과의원,"경기도 성남시 중원구 광명로 373, 2층 (금광동)",031-742-8135,금광동,치과
김현소아청소년과의원,"경기도 성남시 중원구 제일로 37, 2층 (성남동)",031-755-4235,성남동,소아청소년과
허안과의원,경기도 성남시 중원구 금상로 7 (상대원동),031-747-9125,상대원동,안과
한기협치과의원,경기도 성남시 중원구 산성대로552번길 11 (은행동),031-748-1451,은행동,치과
서울정형외과의원,"경기도 성남시 중원구 희망로 316, 1, 5,6층 (상대원동)",031-748-8976,상대원동,외과
봄이비인후과의원,"경기도 성남시 중원구 산성대로372번길 13, 2층 (금광동)",031-743-0109,금광동,이비인후과
김명윤치과의원,"경기도 성남시 중원구 성남대로 1142, 3층 (성남동)",031-751-3127,성남동,치과
최기찬치과의원,"경기도 성남시 중원구 성남대로 1126, 206호 (성남동, 메가프라자)",031-754-8918,,치과
이사랑치과의원,"경기도 성남시 중원구 산성대로 360, 4층 (중앙동)",031-742-2435,중앙동,치과
양충모내과의원,경기도 성남시 중원구 산성대로372번길 14 (금광동),031-741-0021,금광동,내과
성남예치과병원,경기도 성남시 중원구 성남대로 1141 (성남동),031-757-9999,성남동,치과
참좋은내과의원,"경기도 성남시 중원구 산성대로372번길 18, 대촌빌딩 4층 (금광동)",031-626-7777,금광동,내과
정다운플란트치과의원,"경기도 성남시 중원구 산성대로372번길 18, 대촌빌딩 5층 (금광동)",031-605-2228,금광동,치과
단대오거리정형외과의원,"경기도 성남시 중원구 산성대로372번길 18, 대촌빌딩 3층 (금광동)",031-735-7585,금광동,외과
연세새로이치과의원,"경기도 성남시 중원구 산성대로372번길 11, 2층 (금광동)",031-623-2828,금광동,치과
닥터한치과의원,"경기도 성남시 중원구 광명로 111, 인성빌딩 302호 (성남동)",031-758-2807,성남동,치과
오늘플란트치과의원,"경기도 성남시 중원구 산성대로 194, 2층 208~211호 (성남동)",031-756-5301,성남동,치과
라온이비인후과의원,"경기도 성남시 중원구 광명로 120, 대연빌딩 3층 (성남동)",031-365-5171,성남동,이비인후과
닥터최 치과보존과 치과의원,"경기도 성남시 중원구 양현로 469, 4층 403호 (여수동)",031-759-7975,여수동,치과
서울최편한내과의원,"경기도 성남시 분당구 백현로 100, 정자아이파크 201,202,203,203-1호 (정자동)",031-719-9846,정자동,내과
수내연세정형외과의원,"경기도 성남시 분당구 황새울로200번길 40, 4층 일부호 (수내동)",031-717-2025,수내동,외과
판교퍼스트정형외과의원,"경기도 성남시 분당구 대왕판교로 660, 유스페이스1 B동 3층 315호,317호호 (삼평동)",031-705-1111,삼평동,외과
한땀성형외과의원,"경기도 성남시 분당구 정자일로198번길 15, 제나프라자 4층 일부호 (정자동)",031-712-1712,정자동,외과
송율정신건강의학과의원,"경기도 성남시 분당구 판교역로 136, 지하2층 B2046,B2050호 (백현동)",031-8039-7270,백현동,정신건강의학과
서현탑정형외과의원,"경기도 성남시 분당구 중앙공원로31번길 42, 서현파크플라자 2층 201,202호 (서현동)",031-625-0123,서현동,외과
오늘유외과의원,"경기도 성남시 분당구 성남대로 349, 시그마타워 7층 일부호 (정자동)",031-718-6541,정자동,외과
파인트리피부과의원,"경기도 성남시 분당구 운중로 140, 메트로골드 502,503호 (운중동)",031-708-2080,운중동,피부과
분당슬기로운마취통증의학과의원,"경기도 성남시 분당구 황새울로258번길 36, 광진프라자 5층 501호, 502호 (수내동)",031-606-8882,수내동,마취통증의학과
서현마디튼튼재활의학과의원,"경기도 성남시 분당구 분당로53번길 9, 2층 204~206호 (서현동)",031-781-7585,서현동,재활의학과
판교새로튼튼재활의학과의원,"경기도 성남시 분당구 대왕판교로606번길 39, 럭스타워 203, 207~210호 (삼평동)",031-781-7588,삼평동,재활의학과
분당삼성정형외과의원,"경기도 성남시 분당구 황새울로258번길 40, 분당수내동빌딩 5층 (수내동)",031-714-0077,수내동,외과
연세마스터정형외과의원,"경기도 성남시 분당구 서현로180번길 26, 서현동 아름빌딩 3층 (서현동)",031-608-1234,서현동,외과
판교제일이비인후과의원,"경기도 성남시 분당구 판교역로 240, 삼환하이펙스A동 127호 (삼평동)",031-778-6425,삼평동,이비인후과
이지브레인 정신건강의학과의원,"경기도 성남시 분당구 분당로53번길 12, 서현나산플라자 3층 304호 (서현동)",031-701-8275,서현동,정신건강의학과
이효근 정신건강의학과의원,"경기도 성남시 분당구 분당로53번길 22, 블루홀플라자 5층 2호 (서현동)",031-702-5253,서현동,정신건강의학과
서울유쾌한정신건강의학과의원,"경기도 성남시 분당구 성남대로331번길 3-3, 젤존타워III 708호 (정자동)",031-698-2089,정자동,정신건강의학과
알파서울안과의원,"경기도 성남시 분당구 판교역로 152, 알파돔타워 지하1층 일부호 (백현동)",1544-5199,백현동,안과
본척척재활의학과의원,"경기도 성남시 분당구 성남대로916번길 5, 관보골든쇼핑스포츠빌딩 2층 일부호 (야탑동)",031-702-8575,야탑동,재활의학과
삼성은내과의원,"경기도 성남시 분당구 성남대로925번길 11, 유니마트 206호 (야탑동)",031-703-7575,야탑동,내과
분당시그니처이비인후과가정의학과의원,"경기도 성남시 분당구 황새울로 332, 분당문화센터 5층 일부호 (서현동)",031-709-5000,서현동,이비인후과
더본안과의원,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 211, 212호 (야탑동)",031-778-7523,야탑동,안과
분당정자굿본재활의학과의원,"경기도 성남시 분당구 정자일로156번길 6, 뉴본타워 204~207호 (정자동)",031-717-0614,정자동,재활의학과
호두정신건강의학과의원,"경기도 성남시 분당구 서현로 184, 엘지분당에클라트 2층 204호 (서현동)",031-546-0020,서현동,정신건강의학과
바른마음유외과의원,"경기도 성남시 분당구 황새울로258번길 41, 2층 일부호 (수내동)",031-719-7775,수내동,외과
속속린내과의원,"경기도 성남시 분당구 동판교로 61, 자유퍼스트프라자2 601, 602, 603호 (백현동)",031-703-7707,백현동,내과
연세웰내과의원,"경기도 성남시 분당구 서현로210번길 20, 코코프라자 서현동 2층 201-5~27호 (서현동)",031-602-5920,서현동,내과
서현삼성산부인과의원,"경기도 성남시 분당구 황새울로342번길 9, 서울문고 4층 (서현동)",031-708-7001,서현동,산부인과
판교봉정형외과의원,"경기도 성남시 분당구 대왕판교로 660, 유스페이스1 305, 209-1호 (삼평동)",031-705-1000,삼평동,외과
판교성모숲정신건강의학과의원,"경기도 성남시 분당구 분당내곡로 151, 삼도타워 402, 403호 (삼평동)",031-603-7003,삼평동,정신건강의학과
분당성모정신건강의학과의원,"경기도 성남시 분당구 돌마로 73, 우방코아 4층 401호 (금곡동)",031-714-7574,금곡동,정신건강의학과
로젠성형외과의원,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 2층 208호 (야탑동)",031-622-0339,야탑동,외과
더블유성형외과의원,"경기도 성남시 분당구 운중로 117, 포모나타워 401호 (운중동)",,운중동,외과
더바른정형외과의원,"경기도 성남시 분당구 미금로 44, 2층 (구미동)",031-714-8588,구미동,외과
서울에스유외과의원,"경기도 성남시 분당구 돌마로 68, 분당프라자 603호 (구미동)",031-711-6875,구미동,외과
분당성모정형외과의원,"경기도 성남시 분당구 분당로53번길 22, 블루홀플라자 2층 (서현동)",031-704-0222,서현동,외과
판교잘보는연세안과의원,"경기도 성남시 분당구 대왕판교로606번길 58, 판교푸르지오월드마크 2-44호, 2-45호 (삼평동)",031-8039-6631,삼평동,안과
삼성린산부인과의원,"경기도 성남시 분당구 대왕판교로606번길 58, 판교푸르지오월드마크 2-46호 (삼평동)",031-8039-7275,삼평동,산부인과
도담소아청소년과의원,"경기도 성남시 분당구 정자일로 248, 2층 204~209호 (정자동, 파크뷰)",031-713-8119,,소아청소년과
서현바른정형외과의원,"경기도 성남시 분당구 서현로 192, 야베스밸리 2층 201~203호 (서현동)",031-701-7585,서현동,외과
봄날에산부인과의원,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 206호 (야탑동)",031-8039-7760,야탑동,산부인과
판교삼성스마트신경과의원,"경기도 성남시 분당구 대왕판교로606번길 41, 프라임스퀘어 602~603호 (삼평동)",031-608-3375,삼평동,신경과
파랑새피부과의원,"경기도 성남시 분당구 수내로 39, 236호 (수내동, 분당지웰푸르지오)",031-698-4171,,피부과
서울샤인이비인후과의원,"경기도 성남시 분당구 돌마로 68, 분당프라자 503,503-1호 (구미동)",031-714-1025,구미동,이비인후과
힐하우스 피부과의원,"경기도 성남시 분당구 분당내곡로 131, 2층 일부호 (백현동)",031-701-7438,백현동,피부과
연세우리내과의원,"경기도 성남시 분당구 판교역로192번길 16, 판교타워 501~502호 (삼평동)",031-602-8200,삼평동,내과
연세지니소아청소년과의원,"경기도 성남시 분당구 장미로 198, 아델파크빌 1층 104-3일부호, 104-4호 (야탑동)",031-707-8008,야탑동,소아청소년과
미금본닥터정형외과의원,"경기도 성남시 분당구 돌마로 87, 골드프라자 5층 501호 (금곡동)",031-715-1119,금곡동,외과
서판교소아청소년과의원,"경기도 성남시 분당구 운중로 253, 티에스로드1 2층 201~203호 (판교동)",031-707-3992,판교동,소아청소년과
성모원내과의원,"경기도 성남시 분당구 야탑로 102, 뉴젠빌원룸텔 201~204호, 206~207호 (야탑동)",031-778-8480,야탑동,내과
판교서울이비인후과의원,"경기도 성남시 분당구 운중로 142, 판교메디칼타워 502, 503호 (운중동)",031-707-8909,운중동,이비인후과
서울용마취통증의학과의원,"경기도 성남시 분당구 판교대장로6길 10, 304호, 309~311호 (대장동)",031-715-7576,대장동,마취통증의학과
웰봄 소아청소년과의원,"경기도 성남시 분당구 판교대장로6길 10, 404호, 409~411호 (대장동)",031-714-3008,대장동,소아청소년과
판교바른내과의원,"경기도 성남시 분당구 판교대장로6길 10, 501~511호 (대장동)",031-711-8567,대장동,내과
모두의 정신건강의학과의원,"경기도 성남시 분당구 황새울로342번길 9, 서울문고 6층 일부호 (서현동)",031-702-5202,서현동,정신건강의학과
공감과분석 정신건강의학과의원,"경기도 성남시 분당구 분당내곡로 131, 판교테크원 2층 일부호 (백현동)",031-601-7595,백현동,정신건강의학과
판교미래내과의원,"경기도 성남시 분당구 운중로 115, 2층 201, 202 호 (운중동)",031-609-1200,운중동,내과
연세김동철성형외과의원,"경기도 성남시 분당구 성남대로 170, 한국프라자 203, 202 일부호 (금곡동)",031-712-2114,금곡동,외과
삼성에스(S)내과의원,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 406, 407호 (야탑동)",031-604-7000,야탑동,내과
연세탑정형외과의원,"경기도 성남시 분당구 판교대장로 84, 펠리씨티-1 지상3층 301호, 305호, 306호 (대장동)",031-717-7575,대장동,외과
삼성마디탑정형외과의원,"경기도 성남시 분당구 성남대로 912, 분당BYC빌딩 3층 일부(305호~310호)호 (야탑동)",031-602-8800,야탑동,외과
동그란이비인후과의원,"경기도 성남시 분당구 판교대장로 84, 펠리씨티-1 3층 303호 (대장동)",031-719-3303,대장동,이비인후과
분당참재활의학과의원,"경기도 성남시 분당구 정자로 88, 성심빌딩 2층 일부호 (정자동)",031-716-7579,정자동,재활의학과
조아산부인과의원,"경기도 성남시 분당구 분당내곡로 117, 크래프톤타워 3층 일부호 (백현동)",031-622-7780~1,백현동,산부인과
리나산부인과의원,"경기도 성남시 분당구 성남대로926번길 6, 야탑 대덕프라자 4층 402호 (야탑동)",031-706-7582,야탑동,산부인과
분당선내과의원,"경기도 성남시 분당구 성남대로331번길 3-9, 백궁프라자3 8층 801호 (정자동)",031-719-0875,정자동,내과
서울기운찬정형외과의원,"경기도 성남시 분당구 돌마로 482, 주영빌딩 4층 (서현동)",031-707-1111,서현동,외과
헤라성형외과의원,"경기도 성남시 분당구 서현로210번길 20, 코코프라자 404호 (서현동)",031-708-8252,서현동,외과
서현정신건강의학과의원,"경기도 성남시 분당구 황새울로335번길 5, 203호 (서현동)",031-698-2127,서현동,정신건강의학과
닥터스피부과의원,"경기도 성남시 분당구 운중로 237, 2층 (판교동)",031-698-3088,판교동,피부과
판교삼성정신건강의학과의원,"경기도 성남시 분당구 판교역로 235, 에이치스퀘어 엔동 N동 203호 (삼평동)",031-696-7715,삼평동,정신건강의학과
오세철정신건강의학과의원,"경기도 성남시 분당구 운중로 118, 스타타워 302호 (운중동)",031-707-5372,운중동,정신건강의학과
분당메디본신경외과의원,"경기도 성남시 분당구 서현로321번길 10, 2층 201호 (서현동)",031-703-7730,서현동,외과
지금여기정신건강의학과의원,"경기도 성남시 분당구 판교역로 184, 1002호 (삼평동)",070-5147-7575,삼평동,정신건강의학과
성모편한내과의원,"경기도 성남시 분당구 불정로376번길 7, 건일빌딩 201호 (서현동)",031-8039-7765,서현동,내과
판교가온산부인과의원,"경기도 성남시 분당구 운중로 142, 판교메디칼타워 402, 403호 (운중동)",031-604-6532,운중동,산부인과
서울리드내과의원,"경기도 성남시 분당구 성남대로926번길 6, 야탑 대덕프라자 606, 607호 (야탑동)",031-704-7582,야탑동,내과
하나이비인후과의원,"경기도 성남시 분당구 분당로53번길 20, 이랜드분당프라자 402호 (서현동)",031-701-1175,서현동,이비인후과
분당정자역정형외과의원,"경기도 성남시 분당구 성남대로331번길 3-3, 젤존타워III 505, 506, 507호 (정자동)",031-713-0513,정자동,외과
분당유외과의원,"경기도 성남시 분당구 돌마로 47, 이코노샤르망 3층 305호, 308호 (금곡동)",031-604-5080,금곡동,외과
분당성모이비인후과의원,"경기도 성남시 분당구 정자일로 100, 2층 206, 207호 (정자동, 미켈란쉐르빌)",031-712-9075,,이비인후과
닥터맘정신건강의학과의원,"경기도 성남시 분당구 성남대로 165, 천사의도시1 오피스텔 3층 306호 (금곡동)",031-717-3776,금곡동,정신건강의학과
청담윤성형외과의원,"경기도 성남시 분당구 성남대로 168, 미도프라자 3층 301호 (금곡동)",031-712-5502,금곡동,외과
윙이비인후과의원,"경기도 성남시 분당구 판교역로 152, 알파돔타워 2층, 지하1층 일부호 (백현동)",031-622-7299,백현동,이비인후과
조은소아청소년과의원,"경기도 성남시 분당구 판교로 374, 스타식스코아2 301호 (삼평동)",031-708-7582,삼평동,소아청소년과
대인외과내과의원,"경기도 성남시 분당구 성남대로779번길 26, 서안빌딩 2,3층 (이매동)",031-778-7026,이매동,내과
분당본내과의원,"경기도 성남시 분당구 성남대로 168, 미도프라자 603호 (금곡동)",031-714-7787,금곡동,내과
성모e안과의원,"경기도 성남시 분당구 운중로 135, 더원스퀘어 503,504호 (운중동)",031-8016-8757,운중동,안과
마음정원 정신건강의학과의원,"경기도 성남시 분당구 대왕판교로606번길 41, 프라임스퀘어 504호 (삼평동)",031-602-7759,삼평동,정신건강의학과
서울아이마음정신건강의학과의원,"경기도 성남시 분당구 백현로101번길 16, 대덕프라자 305호 (수내동)",031-717-9123,수내동,정신건강의학과
서울문정형외과의원,"경기도 성남시 분당구 성남대로331번길 3-3, 젤존타워III 801,802,806호 (정자동)",031-711-7533,정자동,외과
노블정형외과의원,"경기도 성남시 분당구 운중로 249, 3층 일부호(303), 4층, 5층 일부호(502, 503)호 (판교동)",031-896-7575,판교동,외과
씨에스흉부외과의원,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 410호 (야탑동)",031-701-3500,야탑동,외과
서울장앤항외과의원,"경기도 성남시 분당구 돌마로 75, 미금프라자 701호 (금곡동)",031-717-2500,금곡동,외과
분당삼성내과의원,"경기도 성남시 분당구 성남대로 32, 보명프라자 3층 301호, 302호, 303호 (구미동)",031-711-5255,구미동,내과
서울방재활의학과의원,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 412,413호 (야탑동)",031-778-6151,야탑동,재활의학과
판교정신건강의학과의원,"경기도 성남시 분당구 운중로 120, 청호델피노 303호 (운중동)",031-707-7573,운중동,정신건강의학과
성모에이치마취통증의학과의원,"경기도 성남시 분당구 서현로210번길 2, 성지하이츠텔 4층 (서현동)",031-778-7573,서현동,마취통증의학과
초이스이비인후과의원,"경기도 성남시 분당구 돌마로 361, 동신코아빌딩 6층 604호 (수내동)",031-8022-7971,수내동,이비인후과
야탑성모이비인후과의원,"경기도 성남시 분당구 성남대로925번길 11, 유니마트 213,214일부호 (야탑동)",031-778-6858,야탑동,이비인후과
조현우정신건강의학과의원,"경기도 성남시 분당구 백현로101번길 17, 초림프라자 3층 309호 (수내동)",031-717-0900,수내동,정신건강의학과
서울강정형외과의원,"경기도 성남시 분당구 분당내곡로 117, 알파돔타워Ⅳ 3층 306호 (백현동)",031-622-7533,백현동,외과
판교정형외과의원,"경기도 성남시 분당구 판교역로 230, 201,215,216,217,217-1호 (삼평동)",031-698-4675,삼평동,외과
리더스피부과의원,"경기도 성남시 분당구 판교역로 152, 알파돔타워Ⅲ 3층 3-2(서측)호 (백현동)",031-8023-5085,백현동,피부과
코앤코김규식이비인후과의원,"경기도 성남시 분당구 백현로101번길 16, 대덕프라자 2층 216호 (수내동)",031-714-0707,수내동,이비인후과
아라본소아청소년과의원,"경기도 성남시 분당구 내정로 58, 스포라이프 스포츠센타 2층 202호 (정자동)",031-778-8575,정자동,소아청소년과
단비정신건강의학과의원,"경기도 성남시 분당구 대왕판교로606번길 58, 2-26호 (삼평동, 판교푸르지오월드마크)",031-778-7097,,정신건강의학과
고려휴정신건강의학과의원,"경기도 성남시 분당구 성남대로 912, 분당BYC빌딩 301호 (야탑동)",031-604-5500,야탑동,정신건강의학과
서울청정신건강의학과의원,"경기도 성남시 분당구 판교역로 152, 알파돔타워Ⅲ 3층 3-2호 (백현동)",031-602-7500,백현동,정신건강의학과
판교연세힐정형외과의원,"경기도 성남시 분당구 대왕판교로606번길 41, 프라임스퀘어 3층 301~304호 (삼평동)",031-708-7555,삼평동,외과
제이탑정형외과의원,"경기도 성남시 분당구 성남대로779번길 26, 서안빌딩 4~5층 (이매동)",031-702-3333,이매동,외과
판교우리재활의학과의원,"경기도 성남시 분당구 대왕판교로 660, 유스페이스1 311,312호 (삼평동)",031-724-2585,삼평동,재활의학과
이삭정신건강의학과의원,"경기도 성남시 분당구 성남대로331번길 3-3, 젤존타워III 6층 604호 (정자동)",031-719-7889,정자동,정신건강의학과
오케이마취통증의학과의원,"경기도 성남시 분당구 돌마로 47, 이코노샤르망 2층 202,203호 (금곡동)",031-714-8899,금곡동,마취통증의학과
미라클신경외과의원,"경기도 성남시 분당구 판교로255번길 9-22, 판교우림더블유시티 2층 218,223호 (삼평동)",031-8023-5670,삼평동,외과
바른피부과의원,"경기도 성남시 분당구 판교로 435, 동양프라자 305일부,305-1호 (야탑동)",031-609-5500,야탑동,피부과
더엘산부인과의원,"경기도 성남시 분당구 판교역로 152, 알파돔타워 3층 303호, 304호 (백현동)",070-8766-0815,백현동,산부인과
강동우정신건강의학과의원,"경기도 성남시 분당구 성남대로 345, 정자역 프라자빌딩 506호 (정자동)",031-712-0506,정자동,정신건강의학과
연세성형외과의원,"경기도 성남시 분당구 황새울로360번길 28, 은성프라자 3층 304호 (서현동)",031-707-2888,서현동,외과
삼성맑은피부과의원,"경기도 성남시 분당구 대왕판교로606번길 41, 프라임스퀘어 403,404호 (삼평동)",031-698-4016,삼평동,피부과
늘편한하지외과의원,"경기도 성남시 분당구 황새울로 340, 교정공제회 서현빌딩 5층 (서현동)",031-705-0880,서현동,외과
명이비인후과의원,"경기도 성남시 분당구 판교로 435, 동양프라자 304호 (야탑동)",031-608-8800,야탑동,이비인후과
이승철신경외과의원,"경기도 성남시 분당구 성남대로925번길 16, 성남(분당)여객자동차터미널 지상2층 106,107,108호 (야탑동)",031-701-1190,야탑동,외과
분당우리산부인과의원,"경기도 성남시 분당구 성남대로 168, 미도프라자 2층 202, 208호 (금곡동)",031-713-3700,금곡동,산부인과
탑내과의원,"경기도 성남시 분당구 판교로255번길 9-22, 105,106호 (삼평동)",031-628-7788,삼평동,내과
행복한내과의원,"경기도 성남시 분당구 양현로94번길 19, 새남서울조합상가  303호, 304호 (이매동)",031-703-7401,이매동,내과
하나정형외과의원,"경기도 성남시 분당구 내정로 172, 상지상가빌딩 401호 (수내동)",031-714-3312,수내동,외과
서울행복내과의원,"경기도 성남시 분당구 정자로 88, 성심빌딩 2층 (정자동)",031-726-9999,정자동,내과
바른서울안과의원,"경기도 성남시 분당구 느티로 27, 하나플라자빌딩 206호, 207호 (정자동)",031-716-0111,정자동,안과
본탑재활의학과의원,"경기도 성남시 분당구 황새울로335번길 5, 앤 타운빌딩 5층 501호 (서현동)",031-718-8800,서현동,재활의학과
노숙영앤유신경과의원,"경기도 성남시 분당구 서현로210번길 20, 403호 (서현동, 코코프라자)",031-703-5558,,신경과
분당 내마음 정신건강의학과의원,"경기도 성남시 분당구 성남대로 345, 6층 604호 (정자동, 정자역프라자)",031-718-6988,,정신건강의학과
에이스정형외과의원,"경기도 성남시 분당구 운중로 120, 201호,202호 (운중동, 청호델피노)",031-707-0609,,외과
두리이비인후과의원,"경기도 성남시 분당구 성남대로 170, 603호 (금곡동, 한국프라자)",031-714-5050,,이비인후과
더쉼정신건강의학과의원,"경기도 성남시 분당구 대왕판교로606번길 39, 201호,202호 (삼평동, 럭스타워)",031-698-3388,,정신건강의학과
티케이정형외과의원,"경기도 성남시 분당구 동판교로 55, 로제비앙스퀘어 1~5층 일부호 (백현동)",1899-5533,백현동,외과
서울삼성내과의원,"경기도 성남시 분당구 운중로 131, 스타식스 메트로 504호 (운중동)",031-608-4086,운중동,내과
삼성공감정신건강의학과의원,"경기도 성남시 분당구 판교역로192번길 16, 7층 704호, 705호 (삼평동, 판교타워)",031-8017-2035,,정신건강의학과
분당성모신경외과의원,"경기도 성남시 분당구 돌마로 85, 동양프라자 301호 (금곡동)",031-712-8271,금곡동,외과
삼성마취통증의학과의원,"경기도 성남시 분당구 성남대로 168, 203~204호 (금곡동, 미도프라자)",031-712-5398,,마취통증의학과
루비산부인과의원,"경기도 성남시 분당구 황새울로342번길 23, 4층 402호 (서현동, 기영프라자)",031-704-3933,,산부인과
서현신정형외과의원,"경기도 성남시 분당구 서현로 184, 214호 (서현동, 엘지분당에클라트)",031-607-7770,,외과
판교성모내과의원,"경기도 성남시 분당구 운중로 115, 502호 (운중동)",031-707-8275,운중동,내과
리앤업성형외과의원,"경기도 성남시 분당구 분당내곡로 151, 1104일부,1105호 (삼평동)",031-701-0970,삼평동,외과
판교바른신경외과의원,"경기도 성남시 분당구 분당내곡로 131, 2층 일부호 (백현동)",031-381-8572,백현동,외과
연세힐마취통증의학과의원,"경기도 성남시 분당구 백현로101번길 23, 501~502호 (수내동, 미도프라자)",031-714-1575,,마취통증의학과
늘바른정형외과의원,"경기도 성남시 분당구 분당로263번길 39, 레이디파크빌딩 208, 209, 210 일부호 (서현동)",031-702-0717,서현동,외과
늘해랑소아청소년과의원,"경기도 성남시 분당구 내정로17번길 2, 4011호 (정자동, 한솔프라자)",031-714-1772,,소아청소년과
리프트업성형외과의원,"경기도 성남시 분당구 서현로 204, 407,408호 (서현동, 엘지에클라트2)",031-603-6003,,외과
라파이비인후과의원,"경기도 성남시 분당구 분당로263번길 35 (서현동, 서현굿모닝프라자)",031-707-8184,,이비인후과
로아신경과의원,"경기도 성남시 분당구 성남대로 168, 304호 (금곡동, 미도프라자)",031-718-6700,,신경과
엘성형외과의원,"경기도 성남시 분당구 황새울로351번길 10, 여암빌딩 2층 (서현동)",031-703-1400,서현동,외과
황혜원유외과의원,"경기도 성남시 분당구 야탑로81번길 10, 3층 310호 (야탑동, 분당아미고타워)",031-622-0011,,외과
스킨다피부과의원,"경기도 성남시 분당구 백현로 97, 304호 (수내동, 수내동 다운타운)",031-715-7582,,피부과
화인마취통증의학과의원,"경기도 성남시 분당구 분당내곡로 151, 3층 301,302,303,305호 (삼평동, 삼도타워)",031-625-2255,,마취통증의학과
수내본정형외과의원,"경기도 성남시 분당구 백현로101번길 22, 3층 (수내동, 성남농협)",031-712-4770,,외과
수내밝은성모안과의원,"경기도 성남시 분당구 돌마로356번길 3, 그랜드빌딩 4층 405호 (수내동)",031-726-8900,수내동,안과
서현S마취통증의학과의원,"경기도 성남시 분당구 서현로210번길 20, 4층 403-2호 (서현동, 코코프라자)",031-778-7585,,마취통증의학과
W정신건강의학과의원,"경기도 성남시 분당구 판교역로 178, 서건타워 402일부호 (삼평동)",031-8016-6663,삼평동,정신건강의학과
애플산부인과의원,"경기도 성남시 분당구 황새울로 332 (서현동, 분당문화센터 5층일부)",031-8017-8322,,산부인과
리뉴미피부과의원,"경기도 성남시 분당구 성남대로331번길 11-3, 4층 (정자동, 여민빌딩)",031-711-6711,,피부과
콕마취통증의학과의원,"경기도 성남시 분당구 돌마로 43, 메디파크빌딩 501, 601, 701(일부)호 (금곡동)",031-1899-9542,금곡동,마취통증의학과
